posicion,nombre,edad,puntos,pais,enlace,id,altura,fecha_nacimiento,peso,lugar_nacimiento,derecha,reves
955,Jie Cui,25,14,CHN,/es/players/jie-cui/c0aj/overview,c0aj,183cm,1998.01.24,72Kg,,Diestro,Dos Manos
953,Kilian Feldbausch,17,14,SUI,/es/players/kilian-feldbausch/f0f4/overview,f0f4,185cm,2005.09.07,70Kg,,Diestro,Dos Manos
951,Hong Chung,30,14,KOR,/es/players/hong-chung/cf07/overview,cf07,170cm,1993.05.16,76Kg,,Zurdo,Dos Manos
950,Nicolas Barrientos,36,14,COL,/es/players/nicolas-barrientos/bc76/overview,bc76,175cm,1987.04.24,75Kg,"Cali, Colombia",Diestro,Dos Manos
949,William Blumberg,25,14,USA,/es/players/william-blumberg/bt45/overview,bt45,188cm,1998.01.26,86Kg,,Diestro,Dos Manos
948,Nathan Seateun,26,15,FRA,/es/players/nathan-seateun/s09y/overview,s09y,180cm,1997.06.25,78Kg,,Diestro,Desconocido
947,Derek Pham,19,15,AUS,/es/players/derek-pham/p0kj/overview,p0kj,180cm,2004.03.31,75Kg,,Diestro,Dos Manos
944,A.J. Catanzariti,27,15,USA,/es/players/a.j.-catanzariti/ci19/overview,ci19,183cm,1995.08.21,128Kg,,Diestro,Desconocido
943,Mac Kiger,24,15,USA,/es/players/mac-kiger/k0c9/overview,k0c9,185cm,1998.12.19,79Kg,,Diestro,Dos Manos
941,Jeremy Beale,28,15,AUS,/es/players/jeremy-beale/bu34/overview,bu34,193cm,1994.10.04,83Kg,,Zurdo,Dos Manos
938,Mariano Kestelboim,27,15,ARG,/es/players/mariano-kestelboim/ke69/overview,ke69,185cm,1996.02.06,78Kg,,Diestro,Dos Manos
937,Simon Carr,23,15,IRL,/es/players/simon-carr/co11/overview,co11,183cm,1999.11.07,77Kg,,Diestro,Dos Manos
934T,John McNally,24,15,USA,/es/players/john-mcnally/mw84/overview,mw84,183cm,1998.10.18,82Kg,,Diestro,Dos Manos
934T,Menelaos Efstathiou,24,15,CYP,/es/players/menelaos-efstathiou/ea31/overview,ea31,183cm,1999.03.02,80Kg,,Diestro,Dos Manos
933,Yuichi Sugita,34,15,JPN,/es/players/yuichi-sugita/se73/overview,se73,175cm,1988.09.18,72Kg,"Sendai, Japón",Diestro,Dos Manos
929,Philip Florig,19,16,GER,/es/players/philip-florig/f0ff/overview,f0ff,180cm,2003.09.11,78Kg,,Diestro,Dos Manos
928,Niccolo Catini,25,16,ITA,/es/players/niccolo-catini/c0c1/overview,c0c1,178cm,1997.12.09,73Kg,,Diestro,Dos Manos
927,Erik Arutiunian,18,16,BLR,/es/players/erik-arutiunian/a0ia/overview,a0ia,191cm,2004.10.19,88Kg,,Diestro,Dos Manos
926,Thomas Deschamps,24,16,FRA,/es/players/thomas-deschamps/d0fy/overview,d0fy,185cm,1998.07.19,73Kg,,Diestro,Dos Manos
925,Liam Gavrielides,19,16,GER,/es/players/liam-gavrielides/g0gz/overview,g0gz,188cm,2004.01.30,81Kg,,Diestro,Dos Manos
923T,Gianni Ross,24,16,USA,/es/players/gianni-ross/rh21/overview,rh21,180cm,1999.02.04,70Kg,,Diestro,Dos Manos
921,Kazuki Nishiwaki,28,16,JPN,/es/players/kazuki-nishiwaki/n934/overview,n934,178cm,1994.10.29,70Kg,,Diestro,Dos Manos
920,Dominik Kellovsky,26,16,CZE,/es/players/dominik-kellovsky/ke36/overview,ke36,183cm,1996.07.24,78Kg,"Havirov, Czech Republic",Diestro,Una Mano
919,Patrick Brady,18,16,GBR,/es/players/patrick-brady/b0nv/overview,b0nv,183cm,2004.11.14,70Kg,,Diestro,Dos Manos
918,Juan Manuel La Serna,19,16,ARG,/es/players/juan-manuel-la-serna/l0gr/overview,l0gr,188cm,2004.02.05,81Kg,,Zurdo,Dos Manos
916,Michail Pervolarakis,27,16,GRE,/es/players/michail-pervolarakis/pm13/overview,pm13,193cm,1996.06.06,90Kg,,Diestro,Dos Manos
914,Blake Mott,27,16,AUS,/es/players/blake-mott/mm79/overview,mm79,180cm,1996.04.21,77Kg,"Caringbah, Australia",Diestro,Dos Manos
913,Yan Bai,34,16,CHN,/es/players/yan-bai/be69/overview,be69,185cm,1989.05.21,80Kg,"Nanjing, China",Diestro,Dos Manos
912,Pablo Cuevas,37,16,URU,/es/players/pablo-cuevas/c882/overview,c882,180cm,1986.01.01,78Kg,"Concordia, Argentina",Diestro,Una Mano
910,Ben Jones,25,17,GBR,/es/players/ben-jones/j732/overview,j732,193cm,1998.05.19,85Kg,,Diestro,Dos Manos
909,Arvid Nordquist,25,17,SWE,/es/players/arvid-nordquist/n0af/overview,n0af,185cm,1998.06.08,84Kg,,Diestro,Dos Manos
908,Manuel Mazza,24,17,ITA,/es/players/manuel-mazza/m0en/overview,m0en,178cm,1999.04.16,71Kg,,Diestro,Dos Manos
907,Cash Hanzlik,21,17,USA,/es/players/cash-hanzlik/h0ec/overview,h0ec,185cm,2002.04.20,77Kg,,Diestro,Dos Manos
906,Jaycer Lyeons,22,17,USA,/es/players/jaycer-lyeons/l0bh/overview,l0bh,180cm,2000.11.16,75Kg,,Diestro,Dos Manos
905,Alexander Kotzen,23,17,USA,/es/players/alexander-kotzen/k0el/overview,k0el,185cm,2000.07.01,77Kg,,Diestro,Dos Manos
903,Patrick Maloney,23,17,USA,/es/players/patrick-maloney/m0re/overview,m0re,193cm,2000.02.09,84Kg,,Diestro,Dos Manos
901,Nicolas Buitrago,25,18,COL,/es/players/nicolas-buitrago/b0mg/overview,b0mg,185cm,1998.05.22,73Kg,,Diestro,Dos Manos
900,Leopold Zima,23,18,GER,/es/players/leopold-zima/z09w/overview,z09w,185cm,2000.05.13,78Kg,,Diestro,Dos Manos
