posicion,nombre,edad,puntos,pais,enlace,id,altura,fecha_nacimiento,peso,lugar_nacimiento,derecha,reves
758,Calum Puttergill,29,30,AUS,/es/players/calum-puttergill/pg03/overview,pg03,183cm,1993.10.22,78Kg,"Umtata, South Africa",Diestro,Dos Manos
757,Joshua Sheehy,26,30,USA,/es/players/joshua-sheehy/s0nn/overview,s0nn,188cm,1997.01.28,88Kg,,Zurdo,Desconocido
755,Lorenzo Joaquin Rodriguez,23,30,ARG,/es/players/lorenzo-joaquin-rodriguez/r0bc/overview,r0bc,193cm,1999.09.29,77Kg,,Diestro,Una Mano
754,Duje Kekez,30,30,CRO,/es/players/duje-kekez/kd14/overview,kd14,183cm,1993.03.30,82Kg,,Diestro,Dos Manos
752,Evgeny Tyurnev,26,30,RUS,/es/players/evgeny-tyurnev/td47/overview,td47,191cm,1997.04.08,85Kg,,Diestro,Dos Manos
749,Pedro Rodenas,19,30,ESP,/es/players/pedro-rodenas/r0h2/overview,r0h2,185cm,2004.03.30,75Kg,,Zurdo,Dos Manos
750,Shunsuke Mitsui,21,30,JPN,/es/players/shunsuke-mitsui/m0na/overview,m0na,178cm,2002.05.20,72Kg,,Diestro,Desconocido
748,Chris Rodesch,21,30,LUX,/es/players/chris-rodesch/r0e0/overview,r0e0,198cm,2001.07.18,93Kg,,Diestro,Dos Manos
747,Nicolas Tepmahc,22,31,FRA,/es/players/nicolas-tepmahc/t0bd/overview,t0bd,188cm,2001.05.23,78Kg,,Diestro,Dos Manos
751,Marcelo Zormann,27,30,BRA,/es/players/marcelo-zormann/z363/overview,z363,0cm,1996.06.10,80Kg,"Lins, Brazil",Diestro,Dos Manos
746,Riccardo Balzerani,24,31,ITA,/es/players/riccardo-balzerani/bv17/overview,bv17,185cm,1998.10.25,80Kg,,Diestro,Dos Manos
745,Aleksandre Bakshi,25,31,GEO,/es/players/aleksandre-bakshi/bp74/overview,bp74,180cm,1997.07.15,73Kg,,Zurdo,Dos Manos
744,Martin Krumich,20,31,CZE,/es/players/martin-krumich/k0fy/overview,k0fy,188cm,2002.12.26,82Kg,,Diestro,Desconocido
743,Tadeas Paroulek,23,31,CZE,/es/players/tadeas-paroulek/p0bm/overview,p0bm,175cm,1999.12.30,70Kg,,Diestro,Una Mano
742,Denis Istomin,36,31,UZB,/es/players/denis-istomin/i165/overview,i165,185cm,1986.09.07,86Kg,"Orenburg, Rusia",Diestro,Dos Manos
741,Mikalai Haliak,24,32,BLR,/es/players/mikalai-haliak/hh15/overview,hh15,183cm,1998.08.14,75Kg,,Diestro,Dos Manos
739,Keisuke Saitoh,22,32,JPN,/es/players/keisuke-saitoh/s0ld/overview,s0ld,163cm,2001.04.29,68Kg,,Zurdo,Dos Manos
738,Petr Nesterov,20,32,BUL,/es/players/petr-nesterov/n0cj/overview,n0cj,0cm,2003.03.07,78Kg,,Diestro,Dos Manos
737,Deney Wassermann,22,32,NED,/es/players/deney-wassermann/w0bd/overview,w0bd,191cm,2001.03.25,91Kg,,Diestro,Una Mano
734,Cyril Vandermeersch,24,32,FRA,/es/players/cyril-vandermeersch/v0bc/overview,v0bc,180cm,1999.05.06,72Kg,,Diestro,Dos Manos
733,Guido Ivan Justo,25,32,ARG,/es/players/guido-ivan-justo/j0aw/overview,j0aw,178cm,1997.12.17,77Kg,,Diestro,Dos Manos
732,Dali Blanch,20,33,USA,/es/players/dali-blanch/b0jp/overview,b0jp,185cm,2003.03.05,80Kg,,Diestro,Dos Manos
731,Hanwen Li,20,33,CHN,/es/players/hanwen-li/l0fw/overview,l0fw,180cm,2002.08.22,73Kg,,Diestro,Desconocido
730,Fernando Yamacita,25,33,BRA,/es/players/fernando-yamacita/y223/overview,y223,185cm,1997.10.01,78Kg,,Diestro,Dos Manos
728,Palaphoom Kovapitukted,23,33,THA,/es/players/palaphoom-kovapitukted/k0bu/overview,k0bu,178cm,1999.12.05,71Kg,,Diestro,Dos Manos
725,Blaise Bicknell,21,33,JAM,/es/players/blaise-bicknell/b0i5/overview,b0i5,191cm,2001.11.26,82Kg,,Diestro,Dos Manos
724,Egor Gerasimov,30,33,BLR,/es/players/egor-gerasimov/gc89/overview,gc89,196cm,1992.11.11,86Kg,"Minsk, Bielorrusia",Diestro,Dos Manos
723,Blaz Rola,32,33,SLO,/es/players/blaz-rola/ra51/overview,ra51,193cm,1990.10.05,85Kg,"Ptuj, Eslovenia",Zurdo,Dos Manos
722,Pedro Vives Marcos,22,33,ESP,/es/players/pedro-vives-marcos/v09t/overview,v09t,178cm,2001.04.13,73Kg,,Diestro,Dos Manos
721,Aldin Setkic,35,34,BIH,/es/players/aldin-setkic/sf41/overview,sf41,191cm,1987.12.21,86Kg,,Diestro,Dos Manos
720,Adam Moundir,28,34,MAR,/es/players/adam-moundir/mp94/overview,mp94,191cm,1995.04.26,91Kg,,Diestro,Dos Manos
719,Vlad Andrei Dancu,24,34,ROU,/es/players/vlad-andrei-dancu/dh53/overview,dh53,0cm,1999.03.08,80Kg,,Diestro,Dos Manos
717,Maxence Broville,24,34,FRA,/es/players/maxence-broville/bu35/overview,bu35,193cm,1999.01.31,82Kg,,Diestro,Desconocido
716,Mick Veldheer,27,34,NED,/es/players/mick-veldheer/va27/overview,va27,185cm,1996.04.05,80Kg,,Zurdo,Dos Manos
715,Daisuke Sumizawa,24,34,JPN,/es/players/daisuke-sumizawa/s0bg/overview,s0bg,175cm,1999.01.31,67Kg,,Diestro,Dos Manos
714,Antoine Ghibaudo,18,34,FRA,/es/players/antoine-ghibaudo/g0iw/overview,g0iw,191cm,2005.01.25,70Kg,,Diestro,Dos Manos
713,Ryota Tanuma,27,34,JPN,/es/players/ryota-tanuma/tg46/overview,tg46,180cm,1995.09.22,64Kg,,Diestro,Dos Manos
712,Tom Gentzsch,19,35,GER,/es/players/tom-gentzsch/g0ib/overview,g0ib,188cm,2003.09.05,83Kg,,Diestro,Desconocido
711,Benjamin Winter Lopez,25,35,ESP,/es/players/benjamin-winter-lopez/w09x/overview,w09x,180cm,1998.05.27,76Kg,,Diestro,Dos Manos
709,Adolfo Daniel Vallejo,19,35,PAR,/es/players/adolfo-daniel-vallejo/v0dp/overview,v0dp,183cm,2004.04.28,72Kg,,Diestro,Dos Manos
708,Olaf Pieczkowski,19,35,POL,/es/players/olaf-pieczkowski/p0it/overview,p0it,183cm,2004.04.01,78Kg,,Diestro,Dos Manos
707,Alexander Bernard,19,35,USA,/es/players/alexander-bernard/b0i0/overview,b0i0,175cm,2003.08.13,73Kg,,Zurdo,Dos Manos
705,Jacob Brumm,24,36,USA,/es/players/jacob-brumm/b0d8/overview,b0d8,180cm,1998.11.30,73Kg,,Diestro,Dos Manos
704,Bor Artnak,19,36,SLO,/es/players/bor-artnak/a0i1/overview,a0i1,193cm,2004.06.04,78Kg,,Diestro,Dos Manos
703,Franco Roncadelli,23,36,URU,/es/players/franco-roncadelli/r0bt/overview,r0bt,185cm,2000.02.06,73Kg,,Zurdo,Dos Manos
702,Ilia Simakin,19,36,RUS,/es/players/ilia-simakin/s0o6/overview,s0o6,193cm,2003.10.27,83Kg,,Diestro,Dos Manos
700,Michiel De Krom,25,36,NED,/es/players/michiel-de-krom/dh55/overview,dh55,183cm,1998.06.27,80Kg,,Diestro,Dos Manos
699,Buvaysar Gadamauri,22,37,BEL,/es/players/buvaysar-gadamauri/g0cv/overview,g0cv,183cm,2000.07.10,80Kg,,Diestro,Una Mano
698,Alexandre Aubriot,24,37,FRA,/es/players/alexandre-aubriot/a0eu/overview,a0eu,188cm,1999.06.06,85Kg,,Diestro,Una Mano
697,Alejandro Hoyos,23,37,COL,/es/players/alejandro-hoyos/hh32/overview,hh32,180cm,1999.09.17,78Kg,,Diestro,Dos Manos
696,Gilles Arnaud Bailly,17,37,BEL,/es/players/gilles-arnaud-bailly/b0qc/overview,b0qc,180cm,2005.09.19,78Kg,,Diestro,Dos Manos
695,Lautaro  Midon,19,37,ARG,/es/players/lautaro--midon/m0oh/overview,m0oh,180cm,2004.03.29,71Kg,,Diestro,Dos Manos
693,Anton Matusevich,22,37,GBR,/es/players/anton-matusevich/m0fa/overview,m0fa,185cm,2001.05.30,86Kg,,Diestro,Dos Manos
691,Bekkhan Atlangeriev,22,38,RUS,/es/players/bekkhan-atlangeriev/a0e6/overview,a0e6,185cm,2001.03.12,77Kg,,Diestro,Desconocido
688,Szymon Kielan,20,39,POL,/es/players/szymon-kielan/k0hb/overview,k0hb,196cm,2002.11.21,97Kg,,Diestro,Dos Manos
687,Giorgio Tabacco,19,39,ITA,/es/players/giorgio-tabacco/t0fk/overview,t0fk,178cm,2003.08.06,80Kg,,Diestro,Dos Manos
686,Matyas Fuele,24,39,HUN,/es/players/matyas-fuele/f09u/overview,f09u,180cm,1998.12.22,78Kg,,Diestro,Dos Manos
684,Sidharth Rawat,30,39,IND,/es/players/sidharth-rawat/rb86/overview,rb86,175cm,1993.04.21,70Kg,,Diestro,Dos Manos
682,Lilian Marmousez,21,40,FRA,/es/players/lilian-marmousez/m0gy/overview,m0gy,180cm,2002.01.03,82Kg,,Diestro,Una Mano
681,Simon Anthony Ivanov,22,40,BUL,/es/players/simon-anthony-ivanov/i427/overview,i427,188cm,2000.07.03,76Kg,,Diestro,Dos Manos
677,Andres Martin,21,40,USA,/es/players/andres-martin/m0np/overview,m0np,183cm,2001.07.07,79Kg,,Diestro,Dos Manos
674,Mili Poljicak,18,41,CRO,/es/players/mili-poljicak/p0gq/overview,p0gq,185cm,2004.07.13,93Kg,,Diestro,Dos Manos
673,David Perez Sanz,29,41,ESP,/es/players/david-perez-sanz/pf36/overview,pf36,180cm,1994.05.15,78Kg,,Diestro,Dos Manos
670,Murphy Cassone,20,41,USA,/es/players/murphy-cassone/c0ht/overview,c0ht,188cm,2002.08.16,79Kg,,Diestro,Dos Manos
669,Julian Lenz,30,41,GER,/es/players/julian-lenz/lb51/overview,lb51,188cm,1993.02.17,82Kg,"Giessen, Germany",Diestro,Dos Manos
668,Niki Kaliyanda Poonacha,28,42,IND,/es/players/niki-kaliyanda-poonacha/kh77/overview,kh77,191cm,1995.04.27,86Kg,"Neyveli, India",Diestro,Dos Manos
667,Gage Brymer,28,42,USA,/es/players/gage-brymer/bp44/overview,bp44,185cm,1995.02.07,70Kg,,Diestro,Dos Manos
666,Blu Baker,21,42,GBR,/es/players/blu-baker/b0if/overview,b0if,191cm,2001.08.28,82Kg,,Diestro,Dos Manos
665,Edward Winter,18,42,AUS,/es/players/edward-winter/w0c4/overview,w0c4,178cm,2004.09.15,73Kg,,Diestro,Dos Manos
663,Fermin Tenti,26,43,ARG,/es/players/fermin-tenti/t0af/overview,t0af,181cm,1997.06.14,74Kg,,Diestro,Dos Manos
661,Imanol Lopez Morillo,23,43,ESP,/es/players/imanol-lopez-morillo/l0at/overview,l0at,183cm,1999.11.18,85Kg,,Diestro,Dos Manos
660,Conner Huertas del pino,27,43,PER,/es/players/conner-huertas-del-pino/hg90/overview,hg90,188cm,1995.12.20,86Kg,,Diestro,Dos Manos
659,Jonas Forejtek,22,43,CZE,/es/players/jonas-forejtek/f0bt/overview,f0bt,183cm,2001.03.10,75Kg,,Diestro,Dos Manos
657,Jerzy Janowicz,32,43,POL,/es/players/jerzy-janowicz/j397/overview,j397,203cm,1990.11.13,94Kg,"Lodz, Polonia",Diestro,Dos Manos
656,Arthur Bouquier,22,44,FRA,/es/players/arthur-bouquier/b0er/overview,b0er,188cm,2000.12.25,85Kg,,Diestro,Dos Manos
655,Christoph Negritu,29,44,GER,/es/players/christoph-negritu/n731/overview,n731,193cm,1994.03.21,83Kg,,Diestro,Dos Manos
653,Koray Kirci,24,44,TUR,/es/players/koray-kirci/ki91/overview,ki91,185cm,1998.08.17,75Kg,,Diestro,Dos Manos
652,Alexander Zgirovsky,21,44,BLR,/es/players/alexander-zgirovsky/z09b/overview,z09b,191cm,2001.07.10,80Kg,,Diestro,Dos Manos
650,David Poljak,27,44,CZE,/es/players/david-poljak/ph77/overview,ph77,188cm,1996.05.17,77Kg,"Ostrava, Czech Republic",Diestro,Dos Manos
649,Garrett Johns,22,44,USA,/es/players/garrett-johns/j0b5/overview,j0b5,180cm,2000.12.17,70Kg,,Diestro,Dos Manos
648,Zura Tkemaladze,23,45,GEO,/es/players/zura-tkemaladze/t0ag/overview,t0ag,188cm,2000.06.04,80Kg,,Diestro,Dos Manos
647,S D Prajwal Dev,27,45,IND,/es/players/s-d-prajwal-dev/dh23/overview,dh23,175cm,1996.05.27,75Kg,,Diestro,Dos Manos
646,Mirko Martinez,25,45,SUI,/es/players/mirko-martinez/mw39/overview,mw39,175cm,1998.04.03,70Kg,,Diestro,Dos Manos
642,Colin Markes,26,46,USA,/es/players/colin-markes/m0bo/overview,m0bo,188cm,1997.03.01,84Kg,,Diestro,Dos Manos
641,Kristjan Tamm,25,46,EST,/es/players/kristjan-tamm/tg67/overview,tg67,185cm,1998.06.16,82Kg,,Diestro,Dos Manos
640,Daniele Capecchi,27,46,ITA,/es/players/daniele-capecchi/ch19/overview,ch19,180cm,1995.10.11,75Kg,,Diestro,Dos Manos
639,Renta Tokuda,25,46,JPN,/es/players/renta-tokuda/td55/overview,td55,178cm,1998.03.29,69Kg,,Diestro,Dos Manos
638,Gergely Madarasz,28,46,HUN,/es/players/gergely-madarasz/mo76/overview,mo76,180cm,1994.10.01,81Kg,,Zurdo,Dos Manos
637,Shintaro Imai,29,46,JPN,/es/players/shintaro-imai/i330/overview,i330,178cm,1993.09.07,74Kg,,Diestro,Desconocido
636,Joao Fonseca,16,46,BRA,/es/players/joao-fonseca/f0fv/overview,f0fv,185cm,2006.08.21,73Kg,,Diestro,Dos Manos
635,Tomas Farjat,22,47,ARG,/es/players/tomas-farjat/f0bv/overview,f0bv,188cm,2001.02.15,80Kg,,Diestro,Dos Manos
634,Shuichi Sekiguchi,31,47,JPN,/es/players/shuichi-sekiguchi/sl92/overview,sl92,168cm,1991.07.15,66Kg,,Diestro,Dos Manos
633,Radu Mihai Papoe,20,47,ROU,/es/players/radu-mihai-papoe/p0fj/overview,p0fj,183cm,2002.08.28,65Kg,,Diestro,Dos Manos
632,Alberto Barroso Campos,27,48,ESP,/es/players/alberto-barroso-campos/bu36/overview,bu36,178cm,1996.06.04,72Kg,,Diestro,Dos Manos
631,Evgeny Philippov,21,48,RUS,/es/players/evgeny-philippov/p0g0/overview,p0g0,180cm,2002.02.06,76Kg,,Diestro,Desconocido
630,Viacheslav Bielinskyi,19,48,UKR,/es/players/viacheslav-bielinskyi/b0ll/overview,b0ll,71cm,2003.12.02,151Kg,,Diestro,Una Mano
629,Roberto Cid,29,48,DOM,/es/players/roberto-cid/cf88/overview,cf88,193cm,1993.08.30,82Kg,,Diestro,Dos Manos
627,Petr Nouza,24,48,CZE,/es/players/petr-nouza/n974/overview,n974,193cm,1998.09.09,90Kg,,Diestro,Dos Manos
626,Andrea Picchione,25,49,ITA,/es/players/andrea-picchione/p0dr/overview,p0dr,183cm,1998.06.07,80Kg,,Diestro,Dos Manos
625,Ryuki Matsuda,23,49,JPN,/es/players/ryuki-matsuda/m0g0/overview,m0g0,64cm,1999.12.28,132Kg,,Diestro,Dos Manos
624,Bruno Kuzuhara,19,49,USA,/es/players/bruno-kuzuhara/k0hn/overview,k0hn,175cm,2004.04.01,68Kg,,Diestro,Dos Manos
623,Andrea Arnaboldi,35,49,ITA,/es/players/andrea-arnaboldi/a622/overview,a622,180cm,1987.12.27,72Kg,"Milan, Italia",Zurdo,Una Mano
621,Hazem Naw,23,49,SYR,/es/players/hazem-naw/n0bk/overview,n0bk,180cm,2000.01.01,77Kg,,Diestro,Dos Manos
620,Pawel Cias,29,49,POL,/es/players/pawel-cias/cf60/overview,cf60,178cm,1994.02.22,70Kg,,Diestro,Dos Manos
619,Pedro Sakamoto,30,49,BRA,/es/players/pedro-sakamoto/sl94/overview,sl94,180cm,1993.06.29,79Kg,,Diestro,Dos Manos
618,Daniel Rodrigues,23,50,POR,/es/players/daniel-rodrigues/r0ar/overview,r0ar,183cm,2000.02.11,81Kg,,Diestro,Dos Manos
617,Lorenzo Bocchi,25,50,ITA,/es/players/lorenzo-bocchi/b0am/overview,b0am,180cm,1997.11.29,77Kg,,Diestro,Dos Manos
612,Lukas Pokorny,21,52,SVK,/es/players/lukas-pokorny/p0hp/overview,p0hp,191cm,2002.02.28,83Kg,,Diestro,Dos Manos
610,Simone Roncalli,27,52,ITA,/es/players/simone-roncalli/re27/overview,re27,175cm,1996.05.08,70Kg,"Busto Arsizio, Italy",Diestro,Dos Manos
609,Kyle Kang,18,52,USA,/es/players/kyle-kang/k0hl/overview,k0hl,183cm,2005.01.27,70Kg,,Diestro,Dos Manos
608,Miguel Damas,23,52,ESP,/es/players/miguel-damas/d0cn/overview,d0cn,183cm,1999.12.21,83Kg,,Diestro,Dos Manos
607,Alec Deckers,23,52,NED,/es/players/alec-deckers/d0d2/overview,d0d2,193cm,2000.05.02,83Kg,,Diestro,Dos Manos
606,Sebastian Prechtel,27,53,GER,/es/players/sebastian-prechtel/pl38/overview,pl38,185cm,1996.05.14,81Kg,,Diestro,Dos Manos
605,Kai Wehnelt,27,53,GER,/es/players/kai-wehnelt/w712/overview,w712,188cm,1995.11.27,82Kg,,Diestro,Dos Manos
604,Alex Knaff,25,53,LUX,/es/players/alex-knaff/kj00/overview,kj00,193cm,1997.11.26,85Kg,,Diestro,Dos Manos
602,Oleg Prihodko,25,53,UKR,/es/players/oleg-prihodko/pl64/overview,pl64,180cm,1997.10.03,77Kg,,Diestro,Dos Manos
601,Alvaro Guillen Meza,20,53,ECU,/es/players/alvaro-guillen-meza/g0dh/overview,g0dh,175cm,2003.01.02,73Kg,,Diestro,Dos Manos
600,Keegan Smith,25,53,USA,/es/players/keegan-smith/s0dq/overview,s0dq,198cm,1998.06.23,93Kg,,Diestro,Desconocido
599,Luca Tomasetto,27,53,ITA,/es/players/luca-tomasetto/tg52/overview,tg52,185cm,1996.03.31,83Kg,,Diestro,Dos Manos
598,Liam Draxl,21,53,CAN,/es/players/liam-draxl/d0dp/overview,d0dp,185cm,2001.12.05,79Kg,,Diestro,Dos Manos
597,Gerard Campana Lee,18,53,KOR,/es/players/gerard-campana-lee/c0mh/overview,c0mh,180cm,2004.10.01,85Kg,,Diestro,Dos Manos
596,Aleksandre Metreveli,29,54,GEO,/es/players/aleksandre-metreveli/mn23/overview,mn23,183cm,1993.08.10,76Kg,Tbilisi,Diestro,Dos Manos
595,Mark Whitehouse,30,54,GBR,/es/players/mark-whitehouse/w716/overview,w716,188cm,1993.05.01,80Kg,,Diestro,Desconocido
594,Makoto Ochi,27,54,JPN,/es/players/makoto-ochi/o664/overview,o664,175cm,1996.05.03,65Kg,,Zurdo,Dos Manos
592,Bjorn Fratangelo,29,54,USA,/es/players/bjorn-fratangelo/f811/overview,f811,183cm,1993.07.19,79Kg,,Diestro,Dos Manos
591,Rrezart Cungu,24,55,MNE,/es/players/rrezart-cungu/c09t/overview,c09t,173cm,1998.07.18,70Kg,,Diestro,Dos Manos
590,Florent Bax,24,55,FRA,/es/players/florent-bax/b0bu/overview,b0bu,185cm,1999.06.16,78Kg,,Diestro,Desconocido
589,Denys Klok,25,55,RUS,/es/players/denys-klok/kg49/overview,kg49,180cm,1998.05.26,82Kg,,Diestro,Dos Manos
588,Luciano Emanuel Ambrogi,19,55,ARG,/es/players/luciano-emanuel-ambrogi/a0ik/overview,a0ik,188cm,2003.11.19,77Kg,,Diestro,Dos Manos
587,Guy Den Ouden,21,55,NED,/es/players/guy-den-ouden/d0h9/overview,d0h9,183cm,2002.04.08,75Kg,,Diestro,Dos Manos
586,Ryan Nijboer,23,56,NED,/es/players/ryan-nijboer/n0b4/overview,n0b4,180cm,1999.07.28,77Kg,,Diestro,Dos Manos
585,Victor Lilov,19,56,USA,/es/players/victor-lilov/l0g8/overview,l0g8,183cm,2004.02.11,83Kg,,Diestro,Dos Manos
584,Orel Kimhi,19,56,ISR,/es/players/orel-kimhi/k0ho/overview,k0ho,173cm,2003.08.19,65Kg,,Diestro,Dos Manos
583,Ji Sung Nam,29,57,KOR,/es/players/ji-sung-nam/n652/overview,n652,183cm,1993.08.15,80Kg,,Diestro,Dos Manos
581,Nicolas Zanellato,21,58,BRA,/es/players/nicolas-zanellato/z0by/overview,z0by,178cm,2002.01.22,70Kg,,Diestro,Una Mano
580,Tibo Colson,22,58,BEL,/es/players/tibo-colson/c0i4/overview,c0i4,196cm,2000.07.12,93Kg,,Diestro,Dos Manos
578,Rimpei Kawakami,22,58,JPN,/es/players/rimpei-kawakami/k0bh/overview,k0bh,178cm,2000.08.29,70Kg,,Zurdo,Dos Manos
576,Sergi Perez Contri,25,59,ESP,/es/players/sergi-perez-contri/pi96/overview,pi96,175cm,1998.01.20,68Kg,,Zurdo,Dos Manos
575,Daniel Little,26,59,GBR,/es/players/daniel-little/l0ee/overview,l0ee,188cm,1997.05.16,80Kg,,Diestro,Dos Manos
574,Andres Andrade,24,59,ECU,/es/players/andres-andrade/ag08/overview,ag08,180cm,1998.12.14,73Kg,,Diestro,Dos Manos
573,James Trotter,23,59,JPN,/es/players/james-trotter/t0bw/overview,t0bw,183cm,1999.07.29,75Kg,,Diestro,Desconocido
572,Justin Boulais,21,59,CAN,/es/players/justin-boulais/b0f8/overview,b0f8,183cm,2001.10.20,77Kg,,Zurdo,Una Mano
569,Mirza Basic,31,60,BIH,/es/players/mirza-basic/be67/overview,be67,188cm,1991.07.12,88Kg,,Diestro,Dos Manos
568,John Echeverria,21,60,ESP,/es/players/john-echeverria/e0au/overview,e0au,180cm,2001.11.30,72Kg,,Diestro,Desconocido
567,Yanaki Milev,19,60,BUL,/es/players/yanaki-milev/m0ka/overview,m0ka,180cm,2004.04.15,78Kg,,Diestro,Dos Manos
566,Felix Gill,21,60,GBR,/es/players/felix-gill/g0eu/overview,g0eu,175cm,2002.06.01,80Kg,,Zurdo,Dos Manos
565,Sanhui Shin,26,60,KOR,/es/players/sanhui-shin/s09p/overview,s09p,178cm,1997.03.18,83Kg,,Diestro,Dos Manos
563,Max Alcala Gurri,20,61,ESP,/es/players/max-alcala-gurri/a0ea/overview,a0ea,178cm,2002.09.11,68Kg,,Diestro,Dos Manos
562,Kirill Kivattsev,25,61,RUS,/es/players/kirill-kivattsev/ki71/overview,ki71,193cm,1997.10.10,85Kg,,Diestro,Una Mano
561,Sergey Fomin,22,61,UZB,/es/players/sergey-fomin/f0a3/overview,f0a3,180cm,2001.02.01,34Kg,,Diestro,Dos Manos
560,Jose Fco. Vidal Azorin,30,61,ESP,/es/players/jose-fco.-vidal-azorin/v846/overview,v846,178cm,1993.06.12,68Kg,,Diestro,Dos Manos
558,Michael Zheng,19,61,USA,/es/players/michael-zheng/z0bz/overview,z0bz,188cm,2004.01.27,73Kg,,Diestro,Dos Manos
557,Federico Iannaccone,24,62,ITA,/es/players/federico-iannaccone/i09n/overview,i09n,183cm,1999.03.26,73Kg,,Diestro,Dos Manos
555,Chak Lam Coleman Wong,19,62,HKG,/es/players/chak-lam-coleman-wong/w0bh/overview,w0bh,191cm,2004.06.06,80Kg,,Diestro,Dos Manos
554,Peter Heller,30,62,GER,/es/players/peter-heller/ha33/overview,ha33,185cm,1992.08.12,76Kg,,Diestro,Dos Manos
552,Jorge Martinez Martinez,27,63,ESP,/es/players/jorge-martinez-martinez/mo54/overview,mo54,170cm,1995.09.23,66Kg,,Diestro,Dos Manos
551,Corentin Denolly,26,63,FRA,/es/players/corentin-denolly/df92/overview,df92,188cm,1997.06.06,79Kg,,Zurdo,Dos Manos
550,Toby Samuel,20,63,GBR,/es/players/toby-samuel/s0tm/overview,s0tm,191cm,2002.09.06,80Kg,,Diestro,Dos Manos
549,Neil Oberleitner,23,64,AUT,/es/players/neil-oberleitner/o0ad/overview,o0ad,193cm,1999.08.05,83Kg,,Diestro,Dos Manos
548,Alexis Gautier,26,64,FRA,/es/players/alexis-gautier/gj05/overview,gj05,198cm,1997.04.07,75Kg,,Diestro,Desconocido
547,Federico Agustin Gomez,26,64,ARG,/es/players/federico-agustin-gomez/gj16/overview,gj16,191cm,1996.11.26,95Kg,,Diestro,Dos Manos
546,Matthew Dellavedova,23,65,AUS,/es/players/matthew-dellavedova/d0a2/overview,d0a2,191cm,2000.05.30,81Kg,,Diestro,Una Mano
545,Ignacio Monzon,25,65,ARG,/es/players/ignacio-monzon/mv75/overview,mv75,173cm,1998.01.05,73Kg,,Diestro,Dos Manos
544,Marat Sharipov,20,65,RUS,/es/players/marat-sharipov/s0mn/overview,s0mn,185cm,2002.10.09,77Kg,,Diestro,Dos Manos
543,Tatsuma Ito,35,65,JPN,/es/players/tatsuma-ito/i230/overview,i230,180cm,1988.05.18,75Kg,"Mie, Japan",Diestro,Dos Manos
542,Jeremy Chardy,36,65,FRA,/es/players/jeremy-chardy/ca12/overview,ca12,188cm,1987.02.12,75Kg,"Pau, Francia",Diestro,Dos Manos
541,Jaime Faria,19,66,POR,/es/players/jaime-faria/f0f2/overview,f0f2,188cm,2003.08.06,78Kg,,Diestro,Desconocido
540,Amr Asrawy,24,66,EGY,/es/players/amr-asrawy/a0g8/overview,a0g8,185cm,1999.03.04,77Kg,,Diestro,Dos Manos
539,Vilius Gaubas,18,66,LTU,/es/players/vilius-gaubas/g0fw/overview,g0fw,178cm,2004.12.29,72Kg,,Diestro,Dos Manos
538,Evgeny Karlovskiy,28,66,RUS,/es/players/evgeny-karlovskiy/kd87/overview,kd87,191cm,1994.08.07,86Kg,"Moscow, Russia",Diestro,Dos Manos
537,Cannon Kingsley,22,66,USA,/es/players/cannon-kingsley/k0db/overview,k0db,188cm,2001.05.06,75Kg,,Diestro,Dos Manos
536,Matias Soto,24,66,CHI,/es/players/matias-soto/s0ek/overview,s0ek,170cm,1999.04.27,75Kg,,Diestro,Dos Manos
535,Patrik Rikl,24,66,CZE,/es/players/patrik-rikl/rh13/overview,rh13,185cm,1999.01.06,86Kg,,Diestro,Dos Manos
534,Inaki Montes-De La Torre,20,66,ESP,/es/players/inaki-montes-de-la-torre/m0nl/overview,m0nl,178cm,2002.10.03,79Kg,,Diestro,Dos Manos
533,Tommaso Compagnucci,23,67,ITA,/es/players/tommaso-compagnucci/c0bb/overview,c0bb,173cm,1999.11.05,65Kg,,Diestro,Dos Manos
532,Arthur Reymond,24,67,FRA,/es/players/arthur-reymond/rh50/overview,rh50,180cm,1999.04.02,73Kg,,Zurdo,Una Mano
529,Thai-Son Kwiatkowski,28,67,USA,/es/players/thai-son-kwiatkowski/kd35/overview,kd35,188cm,1995.02.13,81Kg,"Charlotte, NC, USA",Diestro,Dos Manos
526,Mats Rosenkranz,24,68,GER,/es/players/mats-rosenkranz/rh62/overview,rh62,193cm,1998.08.23,83Kg,,Zurdo,Dos Manos
525,Yusuke Takahashi,25,68,JPN,/es/players/yusuke-takahashi/tf58/overview,tf58,170cm,1997.10.17,68Kg,,Diestro,Dos Manos
524,Duarte Vale,24,69,POR,/es/players/duarte-vale/va15/overview,va15,183cm,1999.01.11,74Kg,,Diestro,Dos Manos
523,Luca Potenza,22,69,ITA,/es/players/luca-potenza/p0b2/overview,p0b2,0cm,2000.07.28,64Kg,,Diestro,Dos Manos
522,Jeremy Jahn,33,70,GER,/es/players/jeremy-jahn/j400/overview,j400,178cm,1990.04.05,73Kg,"Munich, Germany",Diestro,Una Mano
521,Tao Mu,23,71,CHN,/es/players/tao-mu/m09e/overview,m09e,180cm,2000.04.28,75Kg,,Diestro,Dos Manos
520,Harry Wendelken,21,71,GBR,/es/players/harry-wendelken/w0ah/overview,w0ah,178cm,2001.12.18,68Kg,,Diestro,Dos Manos
519,Digvijaypratap Singh,23,71,IND,/es/players/digvijaypratap-singh/sy71/overview,sy71,191cm,2000.06.02,78Kg,,Diestro,Dos Manos
